Year,Tsu,Location Name,Latitude,Longitude
1986,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA:  S, HAHAT, MUARAENIM",-3.904,103.461
1987,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA:  N, TARUTUNG-LAKE TOBA,",2.244,98.866
1987,Terjadi Tsunami,"INDONESIA:  TIMOR:  PANTAR, MOUNT SIRUNG",-8.247,124.155
1989,Tidak Terjadi Tsunami,"INDONESIA:  MOLUCCA PASSAGE:  MOROTAI, TANAWANGU",1.031,126.189
1989,Tidak Terjadi Tsunami,INDONESIA:  TIMOR:  ALOR,-8.081,125.129
1989,Tidak Terjadi Tsunami,"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",-4.511,139.022
1989,Tidak Terjadi Tsunami,INDONESIA:  TEMBAGAPURA,-4.219,136.667
1990,Tidak Terjadi Tsunami,INDONESIA:  MINAHASSA PENINSULA: BOLAANG-GORONTALO,1.186,122.857
1990,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",-6.904,108.12
1990,Tidak Terjadi Tsunami,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",3.908,97.457
1991,Tidak Terjadi Tsunami,"INDONESIA:  MINAHASSA:  GORONTALO, MAMADO",1.196,122.787
1991,Tidak Terjadi Tsunami,"INDONESIA:  TIMOR:  KALABAHI, DILI",-8.099,124.681
1992,Tidak Terjadi Tsunami,"INDONESIA:  JAWA, BREBES",-7.138,109.067
1992,Terjadi Tsunami,"INDONESIA:  FLORES REGION, MAUMERE, BABI",-8.48,121.896
1994,Terjadi Tsunami,INDONESIA:  KAU,1.015,127.733
1994,Tidak Terjadi Tsunami,"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",-4.967,104.302
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.477,112.835
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.362,112.892
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.777,113.366
1994,Terjadi Tsunami,INDONESIA:  JAVA,-10.341,113.369
1994,Terjadi Tsunami,INDONESIA:  HALMAHERA,-1.258,127.98
1995,Tidak Terjadi Tsunami,INDONESIA:  IRIAN JAYA REGION,-4.183,135.109
1995,Terjadi Tsunami,"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049
1995,Tidak Terjadi Tsunami,"INDONESIA:  SUMATERA, JAMBI PROVINCE",-2.045,101.436
1996,Terjadi Tsunami,"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931
1996,Terjadi Tsunami,"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952
1997,Tidak Terjadi Tsunami,"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",4.358,96.494
1997,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI, PAREPARE",-3.776,119.727
1997,Tidak Terjadi Tsunami,"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",1.241,122.536
1998,Tidak Terjadi Tsunami,"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413
1998,Terjadi Tsunami,"INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891
